customerID,Contract,tenure,MonthlyCharges,Churn,Churn_Probability,MRR_at_Risk,Risk_Tier
5394-SVGJV,0,37,98.8,Yes,0.4075,40.26,Medium Risk
6979-TNDEU,0,8,19.2,No,0.118,2.27,Low Risk
9777-WJJPR,0,31,88.65,No,0.301,26.68,Medium Risk
9283-LZQOH,0,13,74.4,Yes,0.5311,39.51,Medium Risk
7079-QRCBC,0,24,98.75,Yes,0.6061,59.85,High Risk
9495-SKLKD,0,45,95.95,No,0.3136,30.09,Medium Risk
6048-UWKAL,2,69,105.4,No,0.1112,11.72,Low Risk
5067-DGXLL,0,2,20.25,No,0.1315,2.66,Low Risk
5469-CTCWN,1,61,106.0,Yes,0.1341,14.21,Low Risk
9851-QXEEQ,0,41,104.7,Yes,0.5828,61.02,Medium Risk
6281-FKEWS,1,44,49.05,No,0.1295,6.35,Low Risk
8898-KASCD,1,39,35.55,No,0.0365,1.3,Low Risk
9242-TKFSV,2,72,65.1,No,0.0037,0.24,Low Risk
9290-SHCMB,0,13,96.85,No,0.6315,61.16,High Risk
0743-HNPFG,1,51,69.75,No,0.0393,2.74,Low Risk
2277-BKJKN,2,71,99.2,No,0.0991,9.83,Low Risk
9809-IMGCQ,0,22,96.7,Yes,0.6331,61.22,High Risk
5208-HFSBT,0,2,55.05,Yes,0.5787,31.86,Medium Risk
5035-PGZXH,1,56,106.8,No,0.3349,35.77,Medium Risk
8695-WDYEA,0,1,51.25,No,0.4015,20.58,Medium Risk
6543-JXSOO,1,23,57.75,No,0.032,1.85,Low Risk
8016-ZMGMO,1,66,70.85,No,0.0371,2.63,Low Risk
8605-ITULD,0,1,19.55,No,0.319,6.24,Medium Risk
3254-YRILK,0,19,88.2,Yes,0.594,52.39,Medium Risk
6416-YJTTB,0,11,79.5,No,0.297,23.61,Low Risk
2667-WYLWJ,1,8,19.75,Yes,0.2095,4.14,Low Risk
4472-VESGY,0,52,98.15,No,0.2044,20.06,Low Risk
3195-TQDZX,0,3,20.25,No,0.183,3.71,Low Risk
3128-YOVTD,0,51,79.15,No,0.1755,13.89,Low Risk
0529-ONKER,0,15,75.65,Yes,0.5732,43.36,Medium Risk
1728-CXQBE,0,64,94.25,No,0.3062,28.86,Medium Risk
7041-TXQJH,0,37,40.2,No,0.2133,8.57,Low Risk
5014-GSOUQ,2,13,19.95,No,0.0175,0.35,Low Risk
5724-BIDBU,1,49,55.35,No,0.1082,5.99,Low Risk
0481-SUMCB,1,45,102.15,No,0.219,22.37,Low Risk
1769-GRUIK,0,18,71.1,No,0.4092,29.09,Medium Risk
5240-IJOQT,0,1,74.7,Yes,0.8488,63.41,High Risk
8819-WFGGJ,2,68,54.1,No,0.034,1.84,Low Risk
7427-AUFPY,2,54,19.65,No,0.0329,0.65,Low Risk
2811-POVEX,0,23,88.45,No,0.3524,31.17,Medium Risk
1092-GANHU,0,17,76.65,Yes,0.4452,34.12,Medium Risk
7898-PDWQE,2,71,80.4,No,0.0213,1.71,Low Risk
9972-EWRJS,2,67,19.25,No,0.0134,0.26,Low Risk
9314-IJWSQ,0,14,84.8,No,0.5562,47.17,Medium Risk
0661-XEYAN,0,1,25.8,Yes,0.7209,18.6,High Risk
5799-JRCZO,2,63,19.5,No,0.0163,0.32,Low Risk
1921-KYSAY,1,41,68.6,No,0.0888,6.09,Low Risk
6198-RTPMF,0,17,92.6,No,0.4878,45.17,Medium Risk
2924-KHUVI,1,56,100.55,No,0.2196,22.08,Low Risk
1925-GMVBW,0,5,20.55,No,0.1347,2.77,Low Risk
7881-EVUAD,0,2,42.6,Yes,0.6052,25.78,High Risk
6184-DYUOB,0,3,19.6,No,0.1437,2.82,Low Risk
9207-ZPANB,1,37,67.45,No,0.0556,3.75,Low Risk
5766-XQXMQ,0,29,68.85,Yes,0.2164,14.9,Low Risk
9327-QSDED,0,8,43.55,No,0.259,11.28,Low Risk
1656-DRSMG,0,63,109.85,No,0.3096,34.01,Medium Risk
3012-VFFMN,0,7,20.65,No,0.1066,2.2,Low Risk
2984-AFWNC,0,3,95.4,No,0.6898,65.81,High Risk
0640-YJTPY,2,72,21.0,No,0.0056,0.12,Low Risk
8096-LOIST,0,19,56.2,No,0.2925,16.44,Low Risk
9764-REAFF,2,59,18.4,No,0.0377,0.69,Low Risk
3703-VAVCL,0,2,90.0,Yes,0.7706,69.35,High Risk
7107-UBYKY,0,35,25.75,No,0.0546,1.41,Low Risk
4881-GQJTW,0,14,19.6,No,0.107,2.1,Low Risk
8519-QJGJD,0,14,75.35,Yes,0.4626,34.86,Medium Risk
7876-DNYAP,2,69,19.8,No,0.0017,0.03,Low Risk
7905-NJMXS,0,7,64.2,No,0.1976,12.69,Low Risk
2882-WDTBA,2,69,75.75,No,0.0082,0.62,Low Risk
2091-GPPIQ,2,72,78.95,No,0.0292,2.31,Low Risk
6326-MTTXK,0,8,100.85,Yes,0.7368,74.31,High Risk
5071-FBJFS,0,4,50.3,No,0.3368,16.94,Medium Risk
2796-UUZZO,0,63,80.3,No,0.1939,15.57,Low Risk
2429-AYKKO,2,72,19.85,No,0.0101,0.2,Low Risk
9798-OPFEM,2,46,21.1,No,0.0081,0.17,Low Risk
0330-IVZHA,0,5,69.95,Yes,0.5475,38.3,Medium Risk
3794-NFNCH,0,30,50.0,No,0.1181,5.9,Low Risk
5193-QLVZB,2,63,104.75,No,0.1769,18.53,Low Risk
7114-AEOZE,2,60,19.85,No,0.0108,0.21,Low Risk
2886-KEFUM,1,63,107.5,Yes,0.2918,31.37,Low Risk
5522-NYKPB,0,25,85.9,No,0.3085,26.5,Medium Risk
4237-RLAQD,0,1,45.85,Yes,0.5455,25.01,Medium Risk
9957-YODKZ,0,6,80.8,No,0.6956,56.2,High Risk
6518-KZXCB,2,22,25.25,No,0.0377,0.95,Low Risk
2245-ADZFJ,2,31,80.55,No,0.0487,3.92,Low Risk
7776-QGYJC,0,39,81.5,No,0.2731,22.26,Low Risk
9313-QOLTZ,0,26,20.9,No,0.0458,0.96,Low Risk
9651-GTSAQ,1,53,106.1,Yes,0.2418,25.65,Low Risk
3186-BAXNB,0,1,91.7,Yes,0.7515,68.91,High Risk
4672-FOTSD,0,12,67.25,No,0.2018,13.57,Low Risk
0637-YLETY,0,16,95.6,Yes,0.5767,55.13,Medium Risk
9818-XQCUV,0,2,20.35,No,0.1466,2.98,Low Risk
7338-ERIVA,1,39,45.05,No,0.0276,1.24,Low Risk
1157-BQCUW,0,1,74.95,Yes,0.8549,64.07,High Risk
8259-NFJTV,0,7,34.65,No,0.2074,7.19,Low Risk
3223-DWFIO,0,4,69.35,No,0.5543,38.44,Medium Risk
2660-EMUBI,0,10,95.35,Yes,0.8203,78.22,High Risk
6968-GMKPR,0,55,81.55,No,0.3916,31.93,Medium Risk
4751-ERMAN,2,72,75.4,No,0.0504,3.8,Low Risk
1436-ZMJAN,0,10,67.8,No,0.2221,15.06,Low Risk
3292-PBZEJ,0,11,111.4,No,0.5501,61.28,Medium Risk
0799-DDIHE,0,15,46.3,No,0.2272,10.52,Low Risk
3070-FNFZQ,2,23,20.4,No,0.0085,0.17,Low Risk
2812-SFXMJ,0,1,20.05,No,0.3271,6.56,Medium Risk
7675-OZCZG,0,3,45.0,Yes,0.5985,26.93,Medium Risk
5014-WUQMG,1,47,96.1,No,0.1691,16.25,Low Risk
5312-TSZVC,1,15,19.65,No,0.0558,1.1,Low Risk
2003-CKLOR,0,66,99.5,Yes,0.4617,45.94,Medium Risk
0993-OSGPT,1,68,60.65,No,0.0353,2.14,Low Risk
9254-RBFON,1,17,98.6,Yes,0.2538,25.02,Low Risk
1205-WNWPJ,0,7,59.5,Yes,0.3107,18.49,Medium Risk
9391-EOYLI,0,12,80.45,Yes,0.5962,47.96,Medium Risk
7108-DGVUU,1,21,71.7,No,0.0833,5.97,Low Risk
2782-JEEBU,0,21,36.0,No,0.1728,6.22,Low Risk
5127-BZENZ,1,56,65.2,No,0.0202,1.32,Low Risk
2720-FVBQP,0,6,48.95,No,0.2585,12.65,Low Risk
9906-NHHVC,2,65,53.5,No,0.0636,3.4,Low Risk
4522-XRWWI,1,42,80.45,No,0.0861,6.93,Low Risk
3766-EJLFL,2,68,109.05,No,0.0939,10.24,Low Risk
5939-SXWHM,2,48,26.3,No,0.0165,0.43,Low Risk
8152-UOBNY,1,50,106.8,No,0.3591,38.35,Medium Risk
7351-KYHQH,0,7,64.95,No,0.3082,20.02,Medium Risk
7643-RCHXS,2,63,19.35,No,0.0037,0.07,Low Risk
8246-SHFGA,0,17,21.1,No,0.1365,2.88,Low Risk
8387-MOJJT,0,42,77.95,Yes,0.4034,31.45,Medium Risk
0620-XEFWH,0,4,18.85,No,0.1418,2.67,Low Risk
6485-QXWWE,2,62,26.0,No,0.0034,0.09,Low Risk
2761-OCIAX,0,2,74.7,Yes,0.632,47.21,High Risk
7321-VGNKU,0,2,70.35,No,0.5451,38.35,Medium Risk
5327-CNLUQ,2,48,96.9,No,0.0762,7.38,Low Risk
7552-KEYGT,2,27,19.55,No,0.0104,0.2,Low Risk
5816-JMLGY,2,70,80.4,No,0.0134,1.08,Low Risk
3068-OMWZA,0,1,88.8,Yes,0.9012,80.03,High Risk
2927-QRRQV,1,46,94.65,No,0.2191,20.74,Low Risk
6032-KRXXO,0,30,90.25,Yes,0.4895,44.18,Medium Risk
7459-RRWQZ,0,15,64.65,Yes,0.3329,21.52,Medium Risk
6265-SXWBU,1,69,95.75,No,0.1043,9.99,Low Risk
7941-RCJOW,2,65,19.55,No,0.0163,0.32,Low Risk
6374-NTQLP,2,72,104.1,No,0.0456,4.75,Low Risk
4154-AQUGT,0,13,89.05,Yes,0.4948,44.06,Medium Risk
2387-KDZQY,1,17,20.1,No,0.0097,0.19,Low Risk
3584-WKTTW,1,51,111.55,No,0.2538,28.31,Low Risk
3399-BMLVW,2,51,60.5,No,0.0146,0.88,Low Risk
1971-DTCZB,2,72,90.95,No,0.0034,0.31,Low Risk
3092-IGHWF,1,67,87.4,Yes,0.3952,34.54,Medium Risk
3374-PZLXD,0,34,19.7,No,0.0984,1.94,Low Risk
3813-DHBBB,2,67,50.95,No,0.0279,1.42,Low Risk
2812-REYAT,1,49,20.05,No,0.0136,0.27,Low Risk
6518-PPLMZ,2,53,19.4,No,0.0184,0.36,Low Risk
4939-KYYPY,0,27,59.45,No,0.1401,8.33,Low Risk
8017-LXHFA,0,23,94.75,Yes,0.5011,47.48,Medium Risk
5930-GBIWP,2,69,81.5,No,0.0474,3.86,Low Risk
6022-KOUQO,0,2,29.05,No,0.3448,10.02,Medium Risk
6352-TWCAU,0,35,86.45,Yes,0.5351,46.26,Medium Risk
2361-UPSND,1,46,70.6,No,0.0529,3.73,Low Risk
6035-RIIOM,2,54,97.2,No,0.1347,13.09,Low Risk
2929-QNSRW,1,56,98.25,Yes,0.2767,27.19,Low Risk
1262-OPMFY,0,9,75.75,Yes,0.6008,45.51,High Risk
9504-DSHWM,0,20,59.2,No,0.1387,8.21,Low Risk
5035-BVCXS,0,11,75.9,No,0.4626,35.11,Medium Risk
6267-DCFFZ,0,30,90.05,No,0.4764,42.9,Medium Risk
3533-UVMOM,2,68,70.95,No,0.0203,1.44,Low Risk
2439-LYPMQ,0,38,102.6,No,0.5487,56.3,Medium Risk
4248-QPAVC,0,17,85.35,Yes,0.4394,37.5,Medium Risk
1899-VXWXM,1,48,106.1,Yes,0.3136,33.27,Medium Risk
1478-VPOAD,0,1,43.8,No,0.5155,22.58,Medium Risk
9995-HOTOH,2,63,59.0,No,0.1173,6.92,Low Risk
2988-PLAHS,1,3,69.95,No,0.3084,21.57,Medium Risk
1371-OJCEK,1,48,24.35,No,0.0318,0.77,Low Risk
4999-IEZLT,1,66,29.45,No,0.0492,1.45,Low Risk
8883-ANODQ,2,68,84.4,No,0.0603,5.09,Low Risk
4690-LLKUA,0,17,45.05,Yes,0.3948,17.79,Medium Risk
2351-RRBUE,1,7,20.65,No,0.0391,0.81,Low Risk
5980-BDHPY,2,72,87.1,No,0.0047,0.41,Low Risk
1498-DQNRX,0,29,19.85,No,0.0682,1.35,Low Risk
9469-WEJBT,0,37,90.35,No,0.266,24.03,Low Risk
3331-HQDTW,0,34,109.8,Yes,0.3131,34.38,Medium Risk
9490-DFPMD,0,42,84.65,Yes,0.5113,43.28,Medium Risk
2581-VKIRT,1,59,65.5,No,0.0146,0.96,Low Risk
5442-XSDCW,0,11,79.5,Yes,0.5548,44.11,Medium Risk
7426-WEIJX,0,60,80.95,No,0.1952,15.8,Low Risk
2851-MMUTZ,0,27,56.15,No,0.1133,6.36,Low Risk
3049-NDXFL,0,1,85.8,Yes,0.8804,75.54,High Risk
8580-AECUZ,0,1,79.1,Yes,0.8833,69.87,High Risk
3307-TLCUD,0,17,34.4,No,0.1365,4.7,Low Risk
6625-FLENO,2,58,20.75,No,0.0069,0.14,Low Risk
2967-MXRAV,1,1,18.8,No,0.0478,0.9,Low Risk
7963-GQRMY,0,3,44.3,Yes,0.4439,19.66,Medium Risk
8189-HBVRW,0,53,90.8,No,0.1832,16.63,Low Risk
4163-KIUHY,0,35,25.6,No,0.0859,2.2,Low Risk
1228-FZFRV,0,50,105.95,Yes,0.452,47.89,Medium Risk
3500-NSDOA,2,68,70.8,No,0.0173,1.22,Low Risk
1171-TYKUR,0,47,25.4,No,0.0744,1.89,Low Risk
3761-FLYZI,0,65,108.8,No,0.3549,38.61,Medium Risk
2058-DCJBE,0,5,69.75,Yes,0.5618,39.19,Medium Risk
5364-XYIRR,0,51,94.65,Yes,0.5145,48.7,Medium Risk
4829-AUOAX,0,46,96.05,Yes,0.3817,36.66,Medium Risk
1219-NNDDO,0,9,76.85,No,0.587,45.11,Medium Risk
8388-DMKAE,2,8,20.25,No,0.0237,0.48,Low Risk
4403-BWPAY,1,14,24.8,No,0.041,1.02,Low Risk
9659-QEQSY,0,45,115.65,No,0.2452,28.36,Low Risk
5405-ZMYXQ,0,8,74.6,No,0.524,39.09,Medium Risk
5047-LHVLY,0,1,50.15,Yes,0.666,33.4,High Risk
1442-OKRJE,1,66,103.15,No,0.117,12.07,Low Risk
4737-AQCPU,2,72,72.1,No,0.0162,1.17,Low Risk
9158-VCTQB,0,41,113.6,Yes,0.4262,48.42,Medium Risk
2808-CHTDM,2,23,25.1,No,0.012,0.3,Low Risk
6311-UEUME,0,29,78.9,Yes,0.4979,39.28,Medium Risk
0793-TWELN,0,4,80.15,No,0.47,37.67,Medium Risk
3283-WCWXT,2,6,25.4,No,0.0201,0.51,Low Risk
1060-ENTOF,1,67,105.4,No,0.1228,12.94,Low Risk
0999-QXNSA,0,7,45.75,No,0.2629,12.03,Low Risk
5451-MHQOF,1,56,24.45,No,0.0087,0.21,Low Risk
4836-WNFNO,2,72,25.0,No,0.0088,0.22,Low Risk
9225-BZLNZ,2,72,85.25,No,0.0552,4.71,Low Risk
0354-VXMJC,2,23,19.6,No,0.0041,0.08,Low Risk
4422-QVIJA,0,35,50.15,No,0.0949,4.76,Low Risk
9365-SRSZE,0,27,70.55,No,0.4053,28.59,Medium Risk
6839-ITVZJ,0,26,60.05,Yes,0.3009,18.07,Medium Risk
8332-OSJDW,1,12,26.4,No,0.0388,1.02,Low Risk
4735-BJKOU,2,40,20.15,No,0.0068,0.14,Low Risk
0274-JKUJR,0,7,58.85,No,0.1898,11.17,Low Risk
5740-YHGTW,0,70,97.55,No,0.2229,21.74,Low Risk
8917-SZTTJ,2,60,19.65,No,0.0105,0.21,Low Risk
1696-MZVAU,1,39,25.25,No,0.0692,1.75,Low Risk
7359-WWYJV,2,72,114.45,No,0.0331,3.79,Low Risk
0375-HVGXO,0,1,34.7,Yes,0.7086,24.59,High Risk
4906-ZHGPK,1,54,70.7,No,0.0738,5.22,Low Risk
8593-WHYHV,0,3,85.3,Yes,0.7916,67.52,High Risk
3795-GWTRD,2,63,75.55,No,0.0129,0.97,Low Risk
1298-PHBTI,2,71,84.8,No,0.0699,5.93,Low Risk
6223-DHJGV,1,42,20.65,No,0.01,0.21,Low Risk
6961-MJKBO,2,47,20.45,No,0.0129,0.26,Low Risk
6097-EQISJ,1,66,102.45,Yes,0.168,17.21,Low Risk
4423-YLHDV,0,21,104.4,Yes,0.5659,59.08,Medium Risk
8158-WPEZG,0,11,35.65,No,0.2793,9.96,Low Risk
0107-YHINA,0,1,99.75,Yes,0.8883,88.61,High Risk
4918-FYJNT,0,55,90.45,No,0.263,23.79,Low Risk
0727-BNRLG,2,69,97.65,No,0.0718,7.01,Low Risk
4854-CIDCF,0,3,73.85,No,0.5981,44.17,Medium Risk
8640-SDGKB,0,4,74.4,Yes,0.4477,33.31,Medium Risk
3280-MRDOF,2,30,69.1,No,0.0714,4.93,Low Risk
6435-SRWBJ,0,5,82.75,No,0.7191,59.51,High Risk
9964-WBQDJ,2,71,24.4,No,0.0068,0.17,Low Risk
6303-KFWSL,1,29,55.25,No,0.09,4.97,Low Risk
1702-CCFNJ,0,52,61.35,No,0.0555,3.4,Low Risk
8932-CZHRQ,1,68,76.75,No,0.0896,6.88,Low Risk
0386-CWRGM,2,46,19.4,No,0.0045,0.09,Low Risk
5515-RUGKN,0,8,54.75,No,0.2658,14.55,Low Risk
0404-AHASP,2,72,19.7,No,0.0061,0.12,Low Risk
7279-NMVJC,1,17,19.9,No,0.0302,0.6,Low Risk
2081-VEYEH,0,3,107.95,No,0.5419,58.5,Medium Risk
6407-UTSLV,0,2,83.8,No,0.6248,52.36,High Risk
4116-TZAQJ,0,9,74.25,Yes,0.499,37.05,Medium Risk
9060-HJJRW,1,51,56.4,No,0.0756,4.26,Low Risk
2587-YNLES,2,6,20.1,No,0.0266,0.53,Low Risk
7398-SKNQZ,0,3,94.9,No,0.8081,76.69,High Risk
5935-FCCNB,0,17,94.2,No,0.6049,56.98,High Risk
1958-RNRKS,0,30,49.9,No,0.1756,8.76,Low Risk
5136-RGMZO,0,31,71.05,No,0.1812,12.87,Low Risk
8345-MVDYC,2,45,81.65,No,0.0298,2.43,Low Risk
8226-BXGES,1,64,89.45,No,0.0778,6.96,Low Risk
3877-JRJIP,0,1,59.85,Yes,0.5688,34.04,Medium Risk
8375-DKEBR,0,1,69.6,Yes,0.8841,61.53,High Risk
9705-IOVQQ,1,61,99.0,No,0.1544,15.29,Low Risk
1015-OWJKI,0,1,19.05,No,0.2122,4.04,Low Risk
7511-YMXVQ,0,9,45.4,Yes,0.5054,22.95,Medium Risk
2040-XBAVJ,2,72,114.45,No,0.0243,2.78,Low Risk
7551-JOHTI,0,1,19.5,Yes,0.3288,6.41,Medium Risk
8887-IPQNC,0,7,44.25,No,0.2989,13.23,Low Risk
8646-JCOMS,1,66,90.55,No,0.0675,6.11,Low Risk
9804-ICWBG,0,1,69.9,Yes,0.8701,60.82,High Risk
1222-KJNZD,0,40,20.4,No,0.0723,1.47,Low Risk
0106-GHRQR,0,16,71.4,No,0.2167,15.47,Low Risk
5318-IXUZF,0,2,87.15,Yes,0.7216,62.89,High Risk
3768-VHXQO,2,67,24.85,No,0.0103,0.26,Low Risk
8952-WCVCD,1,41,104.45,No,0.1882,19.66,Low Risk
2418-TPEUN,2,56,19.8,No,0.0146,0.29,Low Risk
3963-RYFNS,2,72,116.45,No,0.0489,5.69,Low Risk
3198-VELRD,0,3,84.75,Yes,0.8323,70.54,High Risk
8540-ZQGEA,2,54,20.05,No,0.0046,0.09,Low Risk
1320-REHCS,0,52,110.75,No,0.3756,41.6,Medium Risk
4137-JOPHL,2,50,89.7,No,0.0703,6.31,Low Risk
9436-ZBZCT,0,14,89.95,Yes,0.6602,59.38,High Risk
7801-CEDNV,1,27,48.7,No,0.0585,2.85,Low Risk
2057-BOYKM,2,72,96.6,No,0.0222,2.14,Low Risk
3658-QQJYD,1,62,74.3,No,0.0705,5.24,Low Risk
1803-BGNBD,0,12,54.3,No,0.2386,12.96,Low Risk
0134-XWXCE,1,44,74.85,No,0.1171,8.76,Low Risk
6950-TWMYB,2,54,79.95,No,0.0376,3.01,Low Risk
5848-FHRFC,2,68,20.05,No,0.0082,0.16,Low Risk
2243-FNMMI,0,20,19.4,No,0.0581,1.13,Low Risk
2511-MORQY,1,50,54.9,No,0.0347,1.91,Low Risk
5356-KZCKT,2,58,24.45,No,0.0114,0.28,Low Risk
9470-XCCEM,0,35,89.65,No,0.3366,30.18,Medium Risk
6519-CFDBX,0,2,45.4,No,0.5081,23.07,Medium Risk
3902-MIVLE,2,63,75.7,No,0.0177,1.34,Low Risk
0409-WTMPL,1,58,110.65,No,0.2004,22.17,Low Risk
8763-KIAFH,1,27,20.55,No,0.0144,0.3,Low Risk
3669-WHAFY,2,71,115.15,No,0.045,5.18,Low Risk
3055-VTCGS,1,63,58.55,No,0.0493,2.89,Low Risk
3144-KMTWZ,0,71,93.25,No,0.2744,25.59,Low Risk
7279-BUYWN,0,41,113.2,Yes,0.3636,41.16,Medium Risk
7156-MHUGY,0,13,90.5,Yes,0.6172,55.86,High Risk
7198-GLXTC,0,2,79.0,Yes,0.7417,58.59,High Risk
2007-QVGAW,2,68,19.35,No,0.0196,0.38,Low Risk
5207-PLSTK,0,1,48.75,No,0.5907,28.8,Medium Risk
2307-FYNNL,2,65,109.05,No,0.1564,17.06,Low Risk
5605-XNWEN,2,72,25.0,No,0.0191,0.48,Low Risk
2155-AMQRX,0,28,54.9,No,0.126,6.92,Low Risk
6181-AXXYF,2,72,24.75,No,0.0048,0.12,Low Risk
5091-HFAZW,0,2,91.15,No,0.6223,56.72,High Risk
0516-VRYBW,1,18,20.15,Yes,0.1822,3.67,Low Risk
2519-LBNQL,1,60,104.35,No,0.2719,28.37,Low Risk
8623-ULFNQ,0,26,66.05,No,0.2282,15.07,Low Risk
8380-PEFPE,0,1,71.65,Yes,0.8283,59.35,High Risk
5687-DKDTV,0,4,20.35,Yes,0.1978,4.03,Low Risk
1568-LJSZU,2,68,92.2,No,0.0252,2.32,Low Risk
7530-HDYDS,0,38,84.25,Yes,0.3232,27.23,Medium Risk
7789-HKSBS,1,42,105.2,No,0.1993,20.97,Low Risk
7416-CKTEP,2,57,19.6,No,0.0089,0.17,Low Risk
2586-CWXVV,0,54,30.4,No,0.2367,7.2,Low Risk
3096-IZETN,0,12,78.1,Yes,0.5149,40.21,Medium Risk
2348-KCJLT,1,44,61.5,No,0.0354,2.18,Low Risk
8401-EMUWF,0,42,69.4,No,0.0859,5.96,Low Risk
4193-IBKSW,2,72,24.75,No,0.0044,0.11,Low Risk
5377-NDTOU,2,71,91.05,No,0.0128,1.17,Low Risk
5922-ABDVO,0,19,89.65,Yes,0.4637,41.57,Medium Risk
2474-LCNUE,0,23,73.65,No,0.1049,7.73,Low Risk
0839-QNXME,2,30,19.4,No,0.0094,0.18,Low Risk
3506-OVLKD,1,35,26.2,No,0.0408,1.07,Low Risk
9172-ANCRX,0,10,98.7,Yes,0.7953,78.5,High Risk
6650-VJONK,0,1,43.85,No,0.4635,20.32,Medium Risk
2178-PMGCJ,0,22,69.7,No,0.3022,21.06,Medium Risk
7492-TAFJD,2,7,38.55,No,0.0712,2.74,Low Risk
2773-MADBQ,2,36,53.1,No,0.0297,1.58,Low Risk
6016-LVTJQ,0,34,20.65,No,0.0493,1.02,Low Risk
7860-KSUGX,2,72,64.45,No,0.0278,1.79,Low Risk
8966-KZXXA,2,36,25.1,No,0.01,0.25,Low Risk
6910-HADCM,0,1,76.35,Yes,0.7706,58.84,High Risk
4816-LXZYW,0,23,79.15,Yes,0.5355,42.38,Medium Risk
9606-PBKBQ,0,32,85.0,Yes,0.5374,45.68,Medium Risk
5149-QYTTU,1,71,95.15,No,0.0629,5.98,Low Risk
2070-XYMFH,0,23,79.35,No,0.365,28.96,Medium Risk
2085-BOJKI,1,17,96.65,No,0.2903,28.06,Low Risk
0817-HSUSE,0,1,75.5,No,0.4629,34.95,Medium Risk
5442-PPTJY,2,12,19.7,No,0.0113,0.22,Low Risk
1927-QEWMY,2,72,20.5,No,0.0049,0.1,Low Risk
1663-MHLHE,0,1,19.2,No,0.2232,4.29,Low Risk
5663-QBGIS,2,72,98.35,No,0.1029,10.12,Low Risk
4450-MDZFX,0,60,74.35,No,0.2192,16.3,Low Risk
6701-DHKWQ,2,61,51.35,No,0.0168,0.86,Low Risk
7554-AKDQF,0,6,45.65,No,0.2687,12.27,Low Risk
3536-IQCTX,0,32,85.3,Yes,0.4678,39.9,Medium Risk
4911-BANWH,0,31,86.55,Yes,0.505,43.71,Medium Risk
8496-EJAUI,0,19,73.85,Yes,0.4062,30.0,Medium Risk
0794-YVSGE,2,72,20.3,No,0.004,0.08,Low Risk
5423-BHIXO,0,32,54.2,No,0.2018,10.94,Low Risk
6908-VVYHM,0,65,90.65,No,0.289,26.2,Low Risk
2959-EEXWB,0,45,50.9,No,0.1363,6.94,Low Risk
1839-UMACK,1,42,25.05,No,0.0586,1.47,Low Risk
3030-YDNRM,0,8,74.85,No,0.5968,44.67,Medium Risk
7321-KKSDU,2,32,20.5,No,0.0074,0.15,Low Risk
3402-XRIUO,0,22,63.55,No,0.1153,7.33,Low Risk
3132-TVFDZ,0,57,44.85,Yes,0.4244,19.03,Medium Risk
8286-AFUYI,0,1,47.95,No,0.4465,21.41,Medium Risk
8080-DDEMJ,0,1,45.1,Yes,0.6863,30.95,High Risk
8356-WUAOJ,0,1,45.0,No,0.6203,27.91,High Risk
6365-MTGZX,0,24,96.0,Yes,0.4559,43.77,Medium Risk
1349-WXNGG,0,1,20.05,Yes,0.3117,6.25,Medium Risk
8058-DMYRU,0,54,90.05,No,0.441,39.71,Medium Risk
9350-ZXYJC,2,4,25.3,No,0.052,1.32,Low Risk
6990-YNRIO,2,65,108.65,Yes,0.1763,19.15,Low Risk
8958-JPTRR,1,56,24.3,No,0.0424,1.03,Low Risk
6959-GQEGV,0,45,75.95,No,0.1531,11.63,Low Risk
3173-WSSUE,2,71,19.7,No,0.0032,0.06,Low Risk
1265-HVPZB,1,59,66.4,No,0.0716,4.75,Low Risk
4115-UMJFQ,1,69,35.75,No,0.0538,1.92,Low Risk
7369-TRPFD,1,19,18.8,No,0.0127,0.24,Low Risk
1098-KFQEC,2,55,19.4,No,0.0064,0.12,Low Risk
7190-XHTWJ,1,38,19.3,No,0.0139,0.27,Low Risk
0621-TWIEM,0,10,45.55,Yes,0.4082,18.59,Medium Risk
3537-RYBHH,0,47,67.45,No,0.2353,15.87,Low Risk
2485-ITVKB,0,2,35.1,Yes,0.7147,25.09,High Risk
3669-OYSJI,0,1,46.2,Yes,0.5189,23.97,Medium Risk
1612-EOHDH,0,1,45.15,Yes,0.6025,27.2,High Risk
6702-OHFWR,0,1,43.3,Yes,0.8439,36.54,High Risk
5296-BFCYD,2,46,20.1,No,0.0049,0.1,Low Risk
4510-PYUSH,0,38,57.15,Yes,0.3089,17.65,Medium Risk
9359-JANWS,2,65,58.9,No,0.035,2.06,Low Risk
7517-SAWMO,0,19,73.2,Yes,0.4576,33.5,Medium Risk
4143-HHPMK,0,52,85.35,Yes,0.4362,37.23,Medium Risk
3279-DYZQM,2,71,19.45,No,0.0044,0.09,Low Risk
7054-LGEQW,0,1,45.95,Yes,0.5246,24.11,Medium Risk
0523-VNGTF,0,52,50.5,No,0.1597,8.06,Low Risk
9575-IWCAZ,1,6,25.1,No,0.0529,1.33,Low Risk
7105-MXJLL,1,26,60.7,No,0.0932,5.66,Low Risk
7064-FRRSW,1,48,99.0,No,0.2138,21.17,Low Risk
7940-UQQUG,1,64,104.4,No,0.109,11.38,Low Risk
0923-PNFUB,0,3,83.75,Yes,0.6181,51.77,High Risk
3961-SXAXY,0,1,44.05,No,0.4635,20.42,Medium Risk
7010-BRBUU,2,72,24.1,No,0.0031,0.07,Low Risk
3566-HJGPK,0,1,45.55,No,0.5243,23.88,Medium Risk
